year,quarter,base_type,path,size_mb
2016,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_hogar_2016_q2.parquet,0.68
2016,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_individual_2016_q2.parquet,3.33
2016,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_hogar_2016_q3.parquet,0.69
2016,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_individual_2016_q3.parquet,3.28
2016,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_hogar_2016_q4.parquet,0.67
2016,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2016\eph_individual_2016_q4.parquet,3.21
2017,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_hogar_2017_q1.parquet,0.67
2017,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_individual_2017_q1.parquet,3.24
2017,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_hogar_2017_q2.parquet,0.7
2017,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_individual_2017_q2.parquet,3.29
2017,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_hogar_2017_q3.parquet,0.7
2017,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_individual_2017_q3.parquet,3.31
2017,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_hogar_2017_q4.parquet,0.7
2017,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2017\eph_individual_2017_q4.parquet,3.19
2018,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_hogar_2018_q1.parquet,0.7
2018,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_individual_2018_q1.parquet,3.26
2018,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_hogar_2018_q2.parquet,0.68
2018,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_individual_2018_q2.parquet,3.21
2018,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_hogar_2018_q3.parquet,0.68
2018,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_individual_2018_q3.parquet,3.19
2018,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_hogar_2018_q4.parquet,0.71
